(venv) alex@alex-desktop:~/Frontier-Dental-POC$ python main.py run --reset --limit 100
2026-03-17T19:39:16.188371Z [info     ] orchestrator_start             export_only=False product_limit=100 reset=True skip_browser=False
2026-03-17T19:39:16.191690Z [info     ] database_initialised           path=frontier_dental.db
2026-03-17T19:39:16.241042Z [info     ] database_reset                
2026-03-17T19:39:16.241100Z [info     ] stage_navigator               
2026-03-17T19:39:16.241153Z [info     ] navigator_start               
2026-03-17T19:39:16.559481Z [debug    ] sitemap_parsed                 count=314 url=https://www.safcodental.com/catalog.xml
2026-03-17T19:39:16.672958Z [debug    ] sitemap_parsed                 count=4168 url=https://www.safcodental.com/products.xml
2026-03-17T19:39:16.674216Z [info     ] navigator_categories_filtered  matched=16 total=314
2026-03-17T19:39:17.123707Z [info     ] navigator_complete             category_jobs=16 product_jobs=4168
2026-03-17T19:39:17.123833Z [info     ] stage_category_scraper        
2026-03-17T19:39:17.134591Z [info     ] category_scraper_start        
2026-03-17T19:39:17.135066Z [info     ] category_scraper_pending_jobs  count=16
2026-03-17T19:39:17.135128Z [debug    ] http_get_no_raise              url=https://www.safcodental.com/catalog/gloves
2026-03-17T19:39:30.221981Z [debug    ] category_scraped               products_found=56 url=https://www.safcodental.com/catalog/gloves
2026-03-17T19:39:30.222062Z [debug    ] http_get_no_raise              url=https://www.safcodental.com/catalog/gloves/chloroprene-gloves
2026-03-17T19:39:35.221810Z [debug    ] category_scraped               products_found=12 url=https://www.safcodental.com/catalog/gloves/chloroprene-gloves
2026-03-17T19:39:35.221897Z [debug    ] http_get_no_raise              url=https://www.safcodental.com/catalog/gloves/glove-holder
2026-03-17T19:39:37.276802Z [debug    ] category_scraped               products_found=1 url=https://www.safcodental.com/catalog/gloves/glove-holder
2026-03-17T19:39:37.276883Z [debug    ] http_get_no_raise              url=https://www.safcodental.com/catalog/gloves/latex-gloves
2026-03-17T19:39:42.506114Z [debug    ] category_scraped               products_found=18 url=https://www.safcodental.com/catalog/gloves/latex-gloves
2026-03-17T19:39:42.506186Z [debug    ] http_get_no_raise              url=https://www.safcodental.com/catalog/gloves/nitrile-gloves
2026-03-17T19:39:57.105426Z [debug    ] category_scraped               products_found=50 url=https://www.safcodental.com/catalog/gloves/nitrile-gloves
2026-03-17T19:39:57.105506Z [debug    ] http_get_no_raise              url=https://www.safcodental.com/catalog/gloves/surgical-gloves
2026-03-17T19:40:00.273732Z [debug    ] category_scraped               products_found=3 url=https://www.safcodental.com/catalog/gloves/surgical-gloves
2026-03-17T19:40:00.273819Z [debug    ] http_get_no_raise              url=https://www.safcodental.com/catalog/gloves/vinyl-gloves
2026-03-17T19:40:02.168976Z [debug    ] category_scraped               products_found=1 url=https://www.safcodental.com/catalog/gloves/vinyl-gloves
2026-03-17T19:40:02.169056Z [debug    ] http_get_no_raise              url=https://www.safcodental.com/catalog/sutures-surgical-products
2026-03-17T19:40:14.548848Z [debug    ] category_scraped               products_found=58 url=https://www.safcodental.com/catalog/sutures-surgical-products
2026-03-17T19:40:14.548923Z [debug    ] http_get_no_raise              url=https://www.safcodental.com/catalog/sutures-surgical-products/bone-grafting
2026-03-17T19:40:19.356496Z [debug    ] category_scraped               products_found=14 url=https://www.safcodental.com/catalog/sutures-surgical-products/bone-grafting
2026-03-17T19:40:19.356579Z [debug    ] http_get_no_raise              url=https://www.safcodental.com/catalog/sutures-surgical-products/cold-packs
2026-03-17T19:40:21.764093Z [debug    ] category_scraped               products_found=2 url=https://www.safcodental.com/catalog/sutures-surgical-products/cold-packs
2026-03-17T19:40:21.764175Z [debug    ] http_get_no_raise              url=https://www.safcodental.com/catalog/sutures-surgical-products/iv-fluids-and-administration-sets
2026-03-17T19:40:24.739421Z [debug    ] category_scraped               products_found=5 url=https://www.safcodental.com/catalog/sutures-surgical-products/iv-fluids-and-administration-sets
2026-03-17T19:40:24.739503Z [debug    ] http_get_no_raise              url=https://www.safcodental.com/catalog/sutures-surgical-products/periodontal-dressings
2026-03-17T19:40:27.097564Z [debug    ] category_scraped               products_found=4 url=https://www.safcodental.com/catalog/sutures-surgical-products/periodontal-dressings
2026-03-17T19:40:27.097649Z [debug    ] http_get_no_raise              url=https://www.safcodental.com/catalog/sutures-surgical-products/surgical-blades-and-scalpels
2026-03-17T19:40:31.943734Z [debug    ] category_scraped               products_found=15 url=https://www.safcodental.com/catalog/sutures-surgical-products/surgical-blades-and-scalpels
2026-03-17T19:40:31.943805Z [debug    ] http_get_no_raise              url=https://www.safcodental.com/catalog/sutures-surgical-products/surgical-medicaments-and-packing
2026-03-17T19:40:36.307262Z [debug    ] category_scraped               products_found=10 url=https://www.safcodental.com/catalog/sutures-surgical-products/surgical-medicaments-and-packing
2026-03-17T19:40:36.307385Z [debug    ] http_get_no_raise              url=https://www.safcodental.com/catalog/sutures-surgical-products/suture-needles
2026-03-17T19:40:38.215527Z [debug    ] category_scraped               products_found=1 url=https://www.safcodental.com/catalog/sutures-surgical-products/suture-needles
2026-03-17T19:40:38.215618Z [debug    ] http_get_no_raise              url=https://www.safcodental.com/catalog/sutures-surgical-products/sutures
2026-03-17T19:40:41.777513Z [debug    ] category_scraped               products_found=5 url=https://www.safcodental.com/catalog/sutures-surgical-products/sutures
2026-03-17T19:40:41.777594Z [info     ] category_scraper_complete      processed=16 skipped_404=0
2026-03-17T19:40:41.778307Z [info     ] stage_product_scraper_extractor
2026-03-17T19:40:41.784187Z [info     ] product_extraction_limit_applied limit=100
2026-03-17T19:40:41.784245Z [info     ] product_extraction_start       job_count=100
2026-03-17T19:40:42.461822Z [info     ] browser_started               
2026-03-17T19:40:42.584409Z [debug    ] browser_navigate               url=https://www.safcodental.com/product/wire-glove-box-holder
2026-03-17T19:40:42.586283Z [debug    ] browser_navigate               url=https://www.safcodental.com/product/silkcare-reg
2026-03-17T19:40:42.586902Z [debug    ] browser_navigate               url=https://www.safcodental.com/product/nuvo-trade
2026-03-17T19:40:45.945113Z [debug    ] browser_live_dom_extracted     url=https://www.safcodental.com/product/wire-glove-box-holder variant_count=3
2026-03-17T19:40:46.009440Z [debug    ] browser_rendered               size=612164 url=https://www.safcodental.com/product/wire-glove-box-holder
2026-03-17T19:40:46.056047Z [info     ] extractor_css_success          url=https://www.safcodental.com/product/wire-glove-box-holder variant_count=3
2026-03-17T19:40:46.099645Z [debug    ] browser_navigate               url=https://www.safcodental.com/product/aloepro-trade
2026-03-17T19:40:46.102085Z [debug    ] browser_live_dom_extracted     url=https://www.safcodental.com/product/nuvo-trade variant_count=4
2026-03-17T19:40:46.116603Z [info     ] product_extracted              url=https://www.safcodental.com/product/wire-glove-box-holder variants=3
2026-03-17T19:40:46.156146Z [debug    ] browser_rendered               size=678883 url=https://www.safcodental.com/product/nuvo-trade
2026-03-17T19:40:46.190578Z [info     ] extractor_css_success          url=https://www.safcodental.com/product/nuvo-trade variant_count=4
2026-03-17T19:40:46.206208Z [debug    ] browser_live_dom_extracted     url=https://www.safcodental.com/product/silkcare-reg variant_count=4
2026-03-17T19:40:46.208305Z [debug    ] browser_navigate               url=https://www.safcodental.com/product/microflex-reg-diamond-grip-plus-trade
2026-03-17T19:40:46.222408Z [info     ] product_extracted              url=https://www.safcodental.com/product/nuvo-trade variants=4
2026-03-17T19:40:46.263231Z [debug    ] browser_rendered               size=721152 url=https://www.safcodental.com/product/silkcare-reg
2026-03-17T19:40:46.302963Z [info     ] extractor_css_success          url=https://www.safcodental.com/product/silkcare-reg variant_count=4
2026-03-17T19:40:46.319210Z [debug    ] browser_navigate               url=https://www.safcodental.com/product/aurelia-reg-refresh-reg
