product_group_name,product_name,brand,item_number,manufacturer_number,category_hierarchy,product_group_url,Quantity,price_per_unit,availability,group_description,unit_size,specifications,image_urls,scraped_at,extraction_method,validation_status,validation_notes
Wire glove box holder,"Wire glove box holder, double 11""W x 10.5""H x 4""D",Unimed,6220102,BHDH004040,Dental Supplies / Dental Exam Gloves / Glove Holder,https://www.safcodental.com/product/wire-glove-box-holder,1,$21.49,In stock,"Three size options to hold 2, 3 or 4 glove boxes. 4"" depth can accommodate virtually any size glove box on the market. Steel construction with baked-on white finish. Includes wall mounting hardware.",1,"{""Capacity"": ""Double (holds 2 boxes)"", ""Dimensions"": ""11\""W x 10.5\""H x 4\""D""}",https://www.safcodental.com/media/catalog/product/d/r/drvcd_lc.jpg,2026-03-17T19:40:46.099249,css-selector,valid,
Wire glove box holder,"Wire glove box holder, triple 11""W x 14""H x 4""D",Unimed,6220104,BHTH004050,Dental Supplies / Dental Exam Gloves / Glove Holder,https://www.safcodental.com/product/wire-glove-box-holder,1,$23.49,In stock,"Three size options to hold 2, 3 or 4 glove boxes. 4"" depth can accommodate virtually any size glove box on the market. Steel construction with baked-on white finish. Includes wall mounting hardware.",1,"{""Capacity"": ""Triple (holds 3 boxes)"", ""Dimensions"": ""11\""W x 14\""H x 4\""D""}",https://www.safcodental.com/media/catalog/product/d/r/drvcd_lc.jpg,2026-03-17T19:40:46.104141,css-selector,valid,
Wire glove box holder,"Wire glove box holder, quad 11""W x 22""H x 4""D",Unimed,6220106,BHQH004060,Dental Supplies / Dental Exam Gloves / Glove Holder,https://www.safcodental.com/product/wire-glove-box-holder,1,$30.49,Backorder,"Three size options to hold 2, 3 or 4 glove boxes. 4"" depth can accommodate virtually any size glove box on the market. Steel construction with baked-on white finish. Includes wall mounting hardware.",1,"{""Capacity"": ""Quad (holds 4 boxes)"", ""Dimensions"": ""11\""W x 22\""H x 4\""D""}",https://www.safcodental.com/media/catalog/product/d/r/drvcd_lc.jpg,2026-03-17T19:40:46.107243,css-selector,valid,
Nuvo™,Nuvo vinyl gloves small 100/box,Dash,4680227,NV100S,Dental Supplies / Dental Exam Gloves / Vinyl gloves,https://www.safcodental.com/product/nuvo-trade,1,$7.49,In stock,Powder-free vinyl examination gloves.,100/box,"{""Size"": ""Small""}",https://www.safcodental.com/media/catalog/product/d/r/druii_lc.jpg,2026-03-17T19:40:46.197745,css-selector,valid,
Nuvo™,Nuvo vinyl gloves medium 100/box,Dash,4680235,NV100M,Dental Supplies / Dental Exam Gloves / Vinyl gloves,https://www.safcodental.com/product/nuvo-trade,1,$7.49,In stock,Powder-free vinyl examination gloves.,100/box,"{""Size"": ""Medium""}",https://www.safcodental.com/media/catalog/product/d/r/druii_lc.jpg,2026-03-17T19:40:46.202205,css-selector,valid,
Nuvo™,Nuvo vinyl gloves large 100/box,Dash,4680243,NV100L,Dental Supplies / Dental Exam Gloves / Vinyl gloves,https://www.safcodental.com/product/nuvo-trade,1,$7.49,In stock,Powder-free vinyl examination gloves.,100/box,"{""Size"": ""Large""}",https://www.safcodental.com/media/catalog/product/d/r/druii_lc.jpg,2026-03-17T19:40:46.209230,css-selector,valid,
Nuvo™,Nuvo vinyl gloves x-large 100/box,Dash,4680251,NV100XL,Dental Supplies / Dental Exam Gloves / Vinyl gloves,https://www.safcodental.com/product/nuvo-trade,1,$7.49,In stock,Powder-free vinyl examination gloves.,100/box,"{""Size"": ""X-Large""}",https://www.safcodental.com/media/catalog/product/d/r/druii_lc.jpg,2026-03-17T19:40:46.212328,css-selector,valid,
Silkcare®,Silkcare gloves latex powder-free x-small 100/box,Cranberry,4710010,CR7815,Dental Supplies / Dental Exam Gloves / Latex gloves,https://www.safcodental.com/product/silkcare-reg,1,$16.49,In stock,Powder-free latex exam gloves.,100/box,"{""Size"": ""X-Small""}",https://www.safcodental.com/media/catalog/product/d/r/drbac_2.jpg,2026-03-17T19:40:46.309699,css-selector,valid,
Silkcare®,Silkcare gloves latex powder-free small 100/box,Cranberry,4710018,CR7816,Dental Supplies / Dental Exam Gloves / Latex gloves,https://www.safcodental.com/product/silkcare-reg,1,$16.49,In stock,Powder-free latex exam gloves.,100/box,"{""Size"": ""Small""}",https://www.safcodental.com/media/catalog/product/d/r/drbac_2.jpg,2026-03-17T19:40:46.313881,css-selector,valid,
Silkcare®,Silkcare gloves latex powder-free medium 100/box,Cranberry,4710024,CR7817,Dental Supplies / Dental Exam Gloves / Latex gloves,https://www.safcodental.com/product/silkcare-reg,1,$16.49,In stock,Powder-free latex exam gloves.,100/box,"{""Size"": ""Medium""}",https://www.safcodental.com/media/catalog/product/d/r/drbac_2.jpg,2026-03-17T19:40:46.321668,css-selector,valid,
Silkcare®,Silkcare gloves latex powder-free large 100/box,Cranberry,4710036,CR7818,Dental Supplies / Dental Exam Gloves / Latex gloves,https://www.safcodental.com/product/silkcare-reg,1,$16.49,In stock,Powder-free latex exam gloves.,100/box,"{""Size"": ""Large""}",https://www.safcodental.com/media/catalog/product/d/r/drbac_2.jpg,2026-03-17T19:40:46.324762,css-selector,valid,
AloePro™,Aloe Pro gloves latex powder-free small 100/box,Dash,4680147,AP100S,Dental Supplies / Dental Exam Gloves / Latex gloves,https://www.safcodental.com/product/aloepro-trade,1,$15.49,In stock,Powder-free latex exam gloves.,100/box,"{""Size"": ""Small""}",https://www.safcodental.com/media/catalog/product/d/r/drbad.jpg,2026-03-17T19:40:49.271234,css-selector,valid,
AloePro™,Aloe Pro gloves latex powder-free medium 100/box,Dash,4680158,AP100M,Dental Supplies / Dental Exam Gloves / Latex gloves,https://www.safcodental.com/product/aloepro-trade,1,$15.49,In stock,Powder-free latex exam gloves.,100/box,"{""Size"": ""Medium""}",https://www.safcodental.com/media/catalog/product/d/r/drbad.jpg,2026-03-17T19:40:49.280132,css-selector,valid,
AloePro™,Aloe Pro gloves latex powder-free large 100/box,Dash,4680169,AP100L,Dental Supplies / Dental Exam Gloves / Latex gloves,https://www.safcodental.com/product/aloepro-trade,1,$15.49,In stock,Powder-free latex exam gloves.,100/box,"{""Size"": ""Large""}",https://www.safcodental.com/media/catalog/product/d/r/drbad.jpg,2026-03-17T19:40:49.286546,css-selector,valid,
AloePro™,Aloe Pro gloves latex powder-free x-large 100/box,Dash,4680173,AP100XL,Dental Supplies / Dental Exam Gloves / Latex gloves,https://www.safcodental.com/product/aloepro-trade,1,$15.49,In stock,Powder-free latex exam gloves.,100/box,"{""Size"": ""X-Large""}",https://www.safcodental.com/media/catalog/product/d/r/drbad.jpg,2026-03-17T19:40:49.289681,css-selector,valid,
Aurelia® Refresh®,Aurelia Refresh glove latex powder-free x-small 100/box,Supermax,4870019,99225,Dental Supplies / Dental Exam Gloves / Latex gloves,https://www.safcodental.com/product/aurelia-reg-refresh-reg,1,$10.49,In stock,Powder-free latex exam gloves with a peppermint scent. Honeycomb textured fingertips and palms Beaded cuff Non-Chlorinated Ambidextrous 50μg or less of latex protein Green color Polymer coated for easy donning 100 gloves per box Order 10 boxes to purchase a case,100/box,"{""Size"": ""X-Small""}",https://www.safcodental.com/media/catalog/product/d/r/drbao.jpg,2026-03-17T19:40:49.541307,css-selector,valid,
Aurelia® Refresh®,Aurelia Refresh glove latex powder-free x-small 100/box,Supermax,4870019,99225,Dental Supplies / Dental Exam Gloves / Latex gloves,https://www.safcodental.com/product/aurelia-reg-refresh-reg,10,$9.99,In stock,Powder-free latex exam gloves with a peppermint scent. Honeycomb textured fingertips and palms Beaded cuff Non-Chlorinated Ambidextrous 50μg or less of latex protein Green color Polymer coated for easy donning 100 gloves per box Order 10 boxes to purchase a case,100/box,"{""Size"": ""X-Small""}",https://www.safcodental.com/media/catalog/product/d/r/drbao.jpg,2026-03-17T19:40:49.541307,css-selector,valid,
Aurelia® Refresh®,Aurelia Refresh glove latex powder-free small 100/box,Supermax,4870024,99226,Dental Supplies / Dental Exam Gloves / Latex gloves,https://www.safcodental.com/product/aurelia-reg-refresh-reg,1,$10.49,In stock,Powder-free latex exam gloves with a peppermint scent. Honeycomb textured fingertips and palms Beaded cuff Non-Chlorinated Ambidextrous 50μg or less of latex protein Green color Polymer coated for easy donning 100 gloves per box Order 10 boxes to purchase a case,100/box,"{""Size"": ""Small""}",https://www.safcodental.com/media/catalog/product/d/r/drbao.jpg,2026-03-17T19:40:49.544601,css-selector,valid,
Aurelia® Refresh®,Aurelia Refresh glove latex powder-free small 100/box,Supermax,4870024,99226,Dental Supplies / Dental Exam Gloves / Latex gloves,https://www.safcodental.com/product/aurelia-reg-refresh-reg,10,$9.99,In stock,Powder-free latex exam gloves with a peppermint scent. Honeycomb textured fingertips and palms Beaded cuff Non-Chlorinated Ambidextrous 50μg or less of latex protein Green color Polymer coated for easy donning 100 gloves per box Order 10 boxes to purchase a case,100/box,"{""Size"": ""Small""}",https://www.safcodental.com/media/catalog/product/d/r/drbao.jpg,2026-03-17T19:40:49.544601,css-selector,valid,
Aurelia® Refresh®,Aurelia Refresh glove latex powder-free medium 100/box,Supermax,4870035,99227,Dental Supplies / Dental Exam Gloves / Latex gloves,https://www.safcodental.com/product/aurelia-reg-refresh-reg,1,$10.49,In stock,Powder-free latex exam gloves with a peppermint scent. Honeycomb textured fingertips and palms Beaded cuff Non-Chlorinated Ambidextrous 50μg or less of latex protein Green color Polymer coated for easy donning 100 gloves per box Order 10 boxes to purchase a case,100/box,"{""Size"": ""Medium""}",https://www.safcodental.com/media/catalog/product/d/r/drbao.jpg,2026-03-17T19:40:49.549586,css-selector,valid,
Aurelia® Refresh®,Aurelia Refresh glove latex powder-free medium 100/box,Supermax,4870035,99227,Dental Supplies / Dental Exam Gloves / Latex gloves,https://www.safcodental.com/product/aurelia-reg-refresh-reg,10,$9.99,In stock,Powder-free latex exam gloves with a peppermint scent. Honeycomb textured fingertips and palms Beaded cuff Non-Chlorinated Ambidextrous 50μg or less of latex protein Green color Polymer coated for easy donning 100 gloves per box Order 10 boxes to purchase a case,100/box,"{""Size"": ""Medium""}",https://www.safcodental.com/media/catalog/product/d/r/drbao.jpg,2026-03-17T19:40:49.549586,css-selector,valid,
Aurelia® Refresh®,Aurelia Refresh glove latex powder-free large 100/box,Supermax,4870046,99228,Dental Supplies / Dental Exam Gloves / Latex gloves,https://www.safcodental.com/product/aurelia-reg-refresh-reg,1,$10.49,Backorder,Powder-free latex exam gloves with a peppermint scent. Honeycomb textured fingertips and palms Beaded cuff Non-Chlorinated Ambidextrous 50μg or less of latex protein Green color Polymer coated for easy donning 100 gloves per box Order 10 boxes to purchase a case,100/box,"{""Size"": ""Large""}",https://www.safcodental.com/media/catalog/product/d/r/drbao.jpg,2026-03-17T19:40:49.552580,css-selector,valid,
Aurelia® Refresh®,Aurelia Refresh glove latex powder-free large 100/box,Supermax,4870046,99228,Dental Supplies / Dental Exam Gloves / Latex gloves,https://www.safcodental.com/product/aurelia-reg-refresh-reg,10,$9.99,Backorder,Powder-free latex exam gloves with a peppermint scent. Honeycomb textured fingertips and palms Beaded cuff Non-Chlorinated Ambidextrous 50μg or less of latex protein Green color Polymer coated for easy donning 100 gloves per box Order 10 boxes to purchase a case,100/box,"{""Size"": ""Large""}",https://www.safcodental.com/media/catalog/product/d/r/drbao.jpg,2026-03-17T19:40:49.552580,css-selector,valid,
